"","Date","Last_future","Spot_Last","Basis","Basis_norm"
"1",2000-01-04,18725,19003,-278,-0.0146292690627796
"2",2000-01-05,18575,18543,32,0.00172571860001079
"3",2000-01-06,18020,18168,-148,-0.00814619110523998
"4",2000-01-07,18470,18193,277,0.0152256362337163
"5",2000-01-11,18575,18851,-276,-0.0146411330963875
"6",2000-01-12,18570,18677,-107,-0.00572897146222627
"7",2000-01-13,18950,18833,117,0.00621249933627144
"8",2000-01-14,19060,18957,103,0.00543334915862214
"9",2000-01-18,19030,19197,-167,-0.0086992759285305
"10",2000-01-19,18955,18898,57,0.0030161921896497
"11",2000-01-20,18860,19008,-148,-0.00778619528619529
"12",2000-01-21,18750,18878,-128,-0.00678037927746583
"13",2000-01-24,18710,19057,-347,-0.0182085322978433
"14",2000-01-25,18975,18896,79,0.00418077900084674
"15",2000-01-26,19125,19111,14,0.000732562398618597
"16",2000-01-27,19130,19210,-80,-0.00416449765747007
"17",2000-01-28,19090,19435,-345,-0.0177514792899408
"18",2000-01-31,19510,19540,-30,-0.0015353121801433
"19",2000-02-01,19570,19423,147,0.00756834680533388
"20",2000-02-02,19715,19579,136,0.00694621788651106
"21",2000-02-03,19925,19786,139,0.00702516931163449
"22",2000-02-04,19835,19763,72,0.00364317158326165
"23",2000-02-07,19890,19945,-55,-0.00275758335422412
"24",2000-02-08,20035,19869,166,0.00835472343852232
"25",2000-02-09,19865,20008,-143,-0.00714714114354258
"26",2000-02-10,19770,19710,60,0.0030441400304414
"27",2000-02-11,19600,19710,-110,-0.00558092338914257
"28",2000-02-14,19665,19556,109,0.00557373696052362
"29",2000-02-15,19430,19368,62,0.00320115654688145
"30",2000-02-16,19635,19599,36,0.00183682840961274
"31",2000-02-17,19800,19791,9,0.00045475216007276
"32",2000-02-18,19630,19789,-159,-0.0080347667896306
"33",2000-02-22,19565,19391,174,0.00897323500593059
"34",2000-02-23,19695,19520,175,0.00896516393442623
"35",2000-02-24,19505,19571,-66,-0.00337233662050994
"36",2000-02-25,19645,19818,-173,-0.00872943788475124
"37",2000-02-28,19755,19720,35,0.00177484787018256
"38",2000-02-29,20055,19960,95,0.00475951903807615
"39",2000-03-01,20045,20082,-37,-0.00184244597151678
"40",2000-03-02,19975,20065,-90,-0.00448542237727386
"41",2000-03-03,20145,19928,217,0.0108892011240466
"42",2000-03-06,19750,19796,-46,-0.0023237017579309
"43",2000-03-07,19700,19944,-244,-0.0122342559165664
"44",2000-03-08,19835,19767,68,0.0034400768958365
"45",2000-03-09,19810,19662,148,0.00752720984640423
"46",2000-03-10,19805,19750,55,0.00278481012658228
"47",2000-03-13,19030,19190,-160,-0.00833767587285044
"48",2000-03-14,18915,19142,-227,-0.0118587399435796
"49",2000-03-15,19165,19079,86,0.00450757377221028
"50",2000-03-16,19440,19253,187,0.00971277203552693
"51",2000-03-17,19355,19566,-211,-0.0107840130839211
"52",2000-03-20,19355,19566,-211,-0.0107840130839211
"53",2000-03-21,19705,19602,103,0.00525456586062647
"54",2000-03-22,19635,19734,-99,-0.00501672240802676
"55",2000-03-23,19745,19705,40,0.00202994163917787
"56",2000-03-24,19945,19958,-13,-0.000651367872532318
"57",2000-03-27,20120,20281,-161,-0.00793846457275282
"58",2000-03-28,20350,20374,-24,-0.00117797192500245
"59",2000-03-29,20555,20707,-152,-0.00734051287004395
"60",2000-03-30,20300,20442,-142,-0.00694648273163096
"61",2000-03-31,20370,20337,33,0.00162265820917539
"62",2000-04-03,20605,20727,-122,-0.00588604236020649
"63",2000-04-04,20330,20595,-265,-0.0128672007768876
"64",2000-04-05,20485,20463,22,0.00107511117626936
"65",2000-04-06,20435,20224,211,0.0104331487341772
"66",2000-04-07,20550,20253,297,0.014664494149015
"67",2000-04-10,20555,20619,-64,-0.00310393326543479
"68",2000-04-11,20625,20523,102,0.00497003362081567
"69",2000-04-12,20660,20833,-173,-0.00830413286612586
"70",2000-04-13,20500,20526,-26,-0.00126668615414596
"71",2000-04-14,19800,20435,-635,-0.0310741375091754
"72",2000-04-17,19390,19009,381,0.0200431374612026
"73",2000-04-18,19040,18970,70,0.003690036900369
"74",2000-04-19,18810,19087,-277,-0.014512495415728
"75",2000-04-20,19120,18959,161,0.00849200907220845
"76",2000-04-24,18355,18480,-125,-0.00676406926406926
"77",2000-04-25,18540,18272,268,0.0146672504378284
"78",2000-04-26,18165,18134,31,0.00170949597441271
"79",2000-04-27,18070,18019,51,0.00283034574615683
"80",2000-04-28,18200,17974,226,0.0125737175920774
"81",2000-05-01,18590,18403,187,0.0101613867304244
"82",2000-05-02,18335,18439,-104,-0.00564021910081892
"83",2000-05-03,18230,18439,-209,-0.0113346710776072
"84",2000-05-04,18290,18439,-149,-0.00808069851944249
"85",2000-05-05,18380,18439,-59,-0.00319973968219535
"86",2000-05-08,18135,18200,-65,-0.00357142857142857
"87",2000-05-09,17725,17845,-120,-0.00672457270944242
"88",2000-05-10,17545,17701,-156,-0.00881306140895995
"89",2000-05-11,17260,16882,378,0.0223907120009478
"90",2000-05-12,17310,17358,-48,-0.00276529554096094
"91",2000-05-15,17360,17314,46,0.00265680951830888
"92",2000-05-16,17705,17551,154,0.00877442880747536
"93",2000-05-17,17225,17404,-179,-0.0102849919558722
"94",2000-05-18,16985,17032,-47,-0.00275951150775012
"95",2000-05-19,16550,16858,-308,-0.0182702574445367
"96",2000-05-22,16270,16386,-116,-0.00707921396313927
"97",2000-05-23,15945,16319,-374,-0.0229180709602304
"98",2000-05-24,16245,16044,201,0.012528047868362
"99",2000-05-25,16045,16248,-203,-0.0124938453963565
"100",2000-05-26,16045,16008,37,0.00231134432783608
"101",2000-05-30,16610,16229,381,0.0234764926982562
"102",2000-05-31,16270,16332,-62,-0.00379622826353172
"103",2000-06-01,16880,16694,186,0.0111417275667905
"104",2000-06-02,17250,16800,450,0.0267857142857143
"105",2000-06-05,17140,17202,-62,-0.00360423206603883
"106",2000-06-06,17050,17170,-120,-0.0069889341875364
"107",2000-06-07,17345,17145,200,0.0116652085156022
"108",2000-06-08,16975,17004,-29,-0.00170548106327923
"109",2000-06-09,16870,16862,8,0.000474439568259993
"110",2000-06-12,16925,16981,-56,-0.00329780342735999
"111",2000-06-13,17050,16915,135,0.00798108187998818
"112",2000-06-14,16655,16654,1,6.00456346823586e-05
"113",2000-06-15,16425,16339,86,0.00526348001713691
"114",2000-06-16,16335,16318,17,0.00104179433754137
"115",2000-06-20,16880,16908,-28,-0.00165602081854743
"116",2000-06-21,17080,17210,-130,-0.00755374782103428
"117",2000-06-22,16970,17106,-136,-0.00795042675084766
"118",2000-06-23,16890,16963,-73,-0.00430348405352827
"119",2000-06-26,17085,16925,160,0.00945347119645495
"120",2000-06-27,17300,17279,21,0.00121534811042306
"121",2000-06-28,17535,17370,165,0.00949913644214162
"122",2000-06-29,17315,17476,-161,-0.00921263447013046
"123",2000-06-30,17520,17411,109,0.00626041008557808
"124",2000-07-03,17680,17615,65,0.003690036900369
"125",2000-07-05,17310,17436,-126,-0.00722642807983482
"126",2000-07-06,17395,17282,113,0.00653859507001504
"127",2000-07-07,17590,17398,192,0.0110357512357742
"128",2000-07-10,17490,17573,-83,-0.00472315483981107
"129",2000-07-11,17490,17504,-14,-0.00079981718464351
"130",2000-07-12,17340,17342,-2,-0.000115326951908661
"131",2000-07-13,17025,17037,-12,-0.000704349357281212
"132",2000-07-14,17160,17143,17,0.000991658402846643
"133",2000-07-17,17350,17287,63,0.00364435703129519
"134",2000-07-18,16820,16945,-125,-0.00737680731779286
"135",2000-07-19,16850,16984,-134,-0.00788977861516722
"136",2000-07-20,17085,16984,101,0.00594677343382007
"137",2000-07-21,16740,16811,-71,-0.0042234251383023
"138",2000-07-24,16515,16547,-32,-0.00193388529642836
"139",2000-07-25,16680,16574,106,0.00639555930976228
"140",2000-07-26,16450,16503,-53,-0.00321153729624917
"141",2000-07-27,16075,16182,-107,-0.00661228525522185
"142",2000-07-28,15610,15839,-229,-0.0144579834585517
"143",2000-07-31,15930,15727,203,0.0129077382844789
"144",2000-08-01,15985,16100,-115,-0.00714285714285714
"145",2000-08-02,16200,16206,-6,-0.000370233246945576
"146",2000-08-03,15740,15814,-74,-0.00467939800177058
"147",2000-08-04,15710,15667,43,0.00274462245484139
"148",2000-08-07,16130,16003,127,0.00793601199775042
"149",2000-08-08,15880,15820,60,0.00379266750948167
"150",2000-08-09,15975,16035,-60,-0.00374181478016838
"151",2000-08-10,15940,15976,-36,-0.00225338007010516
"152",2000-08-11,16205,16118,87,0.0053976920213426
"153",2000-08-14,16305,16154,151,0.00934753002352359
"154",2000-08-15,16305,16298,7,0.000429500552214996
"155",2000-08-16,16360,16356,4,0.000244558571777941
"156",2000-08-17,16205,16161,44,0.00272260379926985
"157",2000-08-18,16275,16280,-5,-0.000307125307125307
"158",2000-08-21,16120,16040,80,0.00498753117206983
"159",2000-08-22,16450,16455,-5,-0.000303859009419629
"160",2000-08-23,16415,16437,-22,-0.00133844375494312
"161",2000-08-24,16635,16671,-36,-0.00215943854597805
"162",2000-08-25,16955,16911,44,0.0026018567796109
"163",2000-08-28,17265,17181,84,0.00488912170420814
"164",2000-08-29,17100,17142,-42,-0.00245012250612531
"165",2000-08-30,16855,16902,-47,-0.00278073600757307
"166",2000-08-31,17020,16861,159,0.00943004566751676
"167",2000-09-01,16860,16740,120,0.00716845878136201
"168",2000-09-05,16370,16452,-82,-0.0049841964502796
"169",2000-09-06,16370,16400,-30,-0.00182926829268293
"170",2000-09-07,16420,16300,120,0.00736196319018405
"171",2000-09-08,16465,16502,-37,-0.00224215246636771
"172",2000-09-11,16055,16131,-76,-0.00471142520612485
"173",2000-09-12,16115,16040,75,0.00467581047381546
"174",2000-09-13,16270,16191,79,0.00487925390649126
"175",2000-09-14,16275,16213,62,0.00382409177820268
"176",2000-09-15,16100,16213,-113,-0.00696971566027262
"177",2000-09-18,15935,16061,-126,-0.00784509059211755
"178",2000-09-19,16280,16124,156,0.00967501860580501
"179",2000-09-20,16315,16458,-143,-0.00868878357030016
"180",2000-09-21,16200,16311,-111,-0.00680522346882472
"181",2000-09-22,16150,15818,332,0.0209887469970919
"182",2000-09-25,16030,15993,37,0.00231351216157069
"183",2000-09-26,15880,15929,-49,-0.00307615041747756
"184",2000-09-27,15730,15640,90,0.00575447570332481
"185",2000-09-28,15875,15627,248,0.0158699686440136
"186",2000-09-29,15730,15747,-17,-0.00107957071188163
"187",2000-10-02,15915,15903,12,0.000754574608564422
"188",2000-10-03,15850,15912,-62,-0.0038964303670186
"189",2000-10-04,16240,16149,91,0.00563502384048548
"190",2000-10-05,16125,16099,26,0.00161500714330083
"191",2000-10-06,15860,15994,-134,-0.00837814180317619
"192",2000-10-09,15755,15994,-239,-0.014943103663874
"193",2000-10-10,15675,15828,-153,-0.00966641394996209
"194",2000-10-11,15285,15514,-229,-0.014760861157664
"195",2000-10-12,15285,15551,-266,-0.0171050093241592
"196",2000-10-13,15510,15330,180,0.0117416829745597
"197",2000-10-16,15465,15512,-47,-0.00302991232594121
"198",2000-10-17,15265,15340,-75,-0.00488917861799218
"199",2000-10-18,14850,14872,-22,-0.0014792899408284
"200",2000-10-19,15100,14811,289,0.0195125244750523
"201",2000-10-20,15200,15199,1,6.57938022238305e-05
"202",2000-10-23,15095,15098,-3,-0.000198701814809909
"203",2000-10-24,15095,15148,-53,-0.00349881172432004
"204",2000-10-25,14670,14840,-170,-0.011455525606469
"205",2000-10-26,14875,14858,17,0.0011441647597254
"206",2000-10-27,14780,14582,198,0.0135783843094226
"207",2000-10-30,14530,14465,65,0.00449360525406153
"208",2000-10-31,14755,14540,215,0.0147867950481431
"209",2000-11-01,14870,14872,-2,-0.000134480903711673
"210",2000-11-02,14910,14838,72,0.00485240598463405
"211",2000-11-03,14945,14838,107,0.00721121444938671
"212",2000-11-06,15360,15371,-11,-0.000715633335501919
"213",2000-11-07,15295,15340,-45,-0.00293350717079531
"214",2000-11-08,15200,15400,-200,-0.012987012987013
"215",2000-11-09,15035,15060,-25,-0.00166002656042497
"216",2000-11-10,14790,14989,-199,-0.0132764026953099
"217",2000-11-13,14675,14665,10,0.000681895669962496
"218",2000-11-14,14945,14660,285,0.0194406548431105
"219",2000-11-15,14780,14799,-19,-0.00128387053179269
"220",2000-11-16,14500,14587,-87,-0.00596421471172962
"221",2000-11-17,14585,14544,41,0.00281903190319032
"222",2000-11-20,14445,14532,-87,-0.00598678777869529
"223",2000-11-21,14390,14408,-18,-0.00124930594114381
"224",2000-11-22,14100,14301,-201,-0.0140549611915251
"225",2000-11-24,14405,14315,90,0.00628711142158575
"226",2000-11-27,14660,14720,-60,-0.00407608695652174
"227",2000-11-28,14515,14659,-144,-0.00982331673374719
"228",2000-11-29,14415,14508,-93,-0.00641025641025641
"229",2000-11-30,14565,14649,-84,-0.00573417980749539
"230",2000-12-01,14945,14835,110,0.00741489720256151
"231",2000-12-04,14925,14955,-30,-0.00200601805416249
"232",2000-12-05,15010,14695,315,0.0214358625382783
"233",2000-12-06,14755,14889,-134,-0.00899993283632212
"234",2000-12-07,14700,14720,-20,-0.00135869565217391
"235",2000-12-08,14810,14697,113,0.00768864394094033
"236",2000-12-11,15120,15016,104,0.00692594565796484
"237",2000-12-12,15130,15115,15,0.000992391663910023
"238",2000-12-13,15160,15169,-9,-0.000593315314127497
"239",2000-12-14,14890,14927,-37,-0.00247872981844979
"240",2000-12-15,14510,14552,-42,-0.00288620120945574
"241",2000-12-18,14550,14484,66,0.00455675227837614
"242",2000-12-19,14090,14132,-42,-0.00297197848853665
"243",2000-12-20,13770,13914,-144,-0.0103492884864166
"244",2000-12-21,13500,13423,77,0.00573642255829546
"245",2000-12-26,13940,14008,-68,-0.00485436893203883
"246",2000-12-27,13980,13981,-1,-7.15256419426364e-05
"247",2000-12-29,13725,13786,-61,-0.00442477876106195
"248",2001-01-02,13615,13786,-171,-0.0124038880023212
"249",2001-01-03,14110,13786,324,0.0235021035833454
"250",2001-01-04,13735,13691,44,0.00321379008107516
"251",2001-01-05,13690,13868,-178,-0.0128353042976637
"252",2001-01-08,13730,13868,-138,-0.00995096625324488
"253",2001-01-09,13660,13611,49,0.003600029387995
"254",2001-01-10,13480,13433,47,0.00349884612521403
"255",2001-01-11,13315,13201,114,0.00863570941595334
"256",2001-01-12,13480,13348,132,0.00988912196583758
"257",2001-01-16,13635,13584,51,0.00375441696113074
"258",2001-01-17,13760,13668,92,0.00673105062920691
"259",2001-01-18,13970,13874,96,0.00691941761568401
"260",2001-01-19,14110,13989,121,0.00864965329902066
"261",2001-01-22,14020,14032,-12,-0.000855188141391106
"262",2001-01-23,14045,13985,60,0.00429031104755095
"263",2001-01-24,13855,13894,-39,-0.0028069670361307
"264",2001-01-25,13735,13803,-68,-0.00492646526117511
"265",2001-01-26,13715,13696,19,0.00138726635514019
"266",2001-01-29,13915,13845,70,0.0050559768869628
"267",2001-01-30,13860,13827,33,0.00238663484486874
"268",2001-01-31,13810,13844,-34,-0.00245593759029182
"269",2001-02-01,13720,13780,-60,-0.00435413642960813
"270",2001-02-02,13605,13704,-99,-0.00722416812609457
"271",2001-02-05,13450,13386,64,0.0047811145973405
"272",2001-02-06,13355,13270,85,0.00640542577241899
"273",2001-02-07,13355,13366,-11,-0.000822983689959599
"274",2001-02-08,13165,13138,27,0.00205510732227127
"275",2001-02-09,13425,13423,2,0.000148997988527155
"276",2001-02-13,13275,13275,0,0
"277",2001-02-14,13320,13284,36,0.002710027100271
"278",2001-02-15,13400,13327,73,0.00547760186088392
"279",2001-02-16,13030,13175,-145,-0.0110056925996205
"280",2001-02-20,13165,13248,-83,-0.00626509661835749
"281",2001-02-21,13055,13100,-45,-0.00343511450381679
"282",2001-02-22,13050,13073,-23,-0.00175935133481221
"283",2001-02-23,13200,13246,-46,-0.00347274648950627
"284",2001-02-26,13290,13201,89,0.00674191349140217
"285",2001-02-27,13010,13060,-50,-0.00382848392036753
"286",2001-02-28,12985,12884,101,0.00783918037876436
"287",2001-03-01,12690,12682,8,0.00063081532881249
"288",2001-03-02,12260,12262,-2,-0.000163105529277443
"289",2001-03-05,12320,12322,-2,-0.000162311313098523
"290",2001-03-07,12725,12724,1,7.85916378497328e-05
"291",2001-03-08,12550,12651,-101,-0.00798355861196743
"292",2001-03-09,12400,12628,-228,-0.0180551156160912
"293",2001-03-12,11910,12171,-261,-0.0214444170569386
"294",2001-03-13,11895,11820,75,0.00634517766497462
